"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"CMO304",0,1.88756429122912,1,1,0,"0","CMO304"
"ENSG00000235770",0,1.2995235650029,0.91,0.41,0,"0","ENSG00000235770"
"ENSG00000243955",0,1.26187776252231,0.999,0.903,0,"0","ENSG00000243955"
"ENSG00000114638",0,1.08005196397416,0.913,0.463,0,"0","ENSG00000114638"
"ENSG00000272398",1.63089331625494e-244,0.80941381960372,0.997,0.854,3.52599134974318e-240,"0","ENSG00000272398"
"ENSG00000130208",1.8517734211025e-234,0.773631484642662,1,0.992,4.0035341364236e-230,"0","ENSG00000130208"
"ENSG00000108298",6.35164767647244e-226,0.573669346127708,1,0.991,1.37322622765334e-221,"0","ENSG00000108298"
"ENSG00000142168",4.62930916933277e-222,0.678617256328673,0.991,0.877,1.00085664240975e-217,"0","ENSG00000142168"
"ENSG00000178980",5.41929034006914e-198,0.680543264465531,0.998,0.968,1.17165057152295e-193,"0","ENSG00000178980"
"ENSG00000104408",6.81872665290841e-157,0.564841169509801,0.992,0.926,1.4742087023588e-152,"0","ENSG00000104408"
"ENSG00000127324",3.78036601910688e-150,0.73302957422372,1,0.992,8.17315133330907e-146,"0","ENSG00000127324"
"ENSG00000167641",4.97726932357946e-149,0.615211775397942,0.965,0.821,1.07608562775788e-144,"0","ENSG00000167641"
"ENSG00000101842",3.40042163561727e-146,0.596377732861478,0.927,0.702,7.35171157620453e-142,"0","ENSG00000101842"
"ENSG00000135390",5.09059587566239e-144,0.433503805001021,0.998,0.981,1.10058682831821e-139,"0","ENSG00000135390"
"ENSG00000240563",1.32859549267258e-142,0.57064317508208,0.859,0.612,2.87242345515813e-138,"0","ENSG00000240563"
"ENSG00000100316",4.63528267950356e-142,0.5107675557274,0.996,0.941,1.00214811530867e-137,"0","ENSG00000100316"
"ENSG00000205213",3.65752803043663e-139,0.512762838602681,0.929,0.691,7.907575601804e-135,"0","ENSG00000205213"
"ENSG00000117450",1.5747380764055e-137,0.412965256354697,1,0.996,3.4045837211887e-133,"0","ENSG00000117450"
"ENSG00000148826",3.21392556441502e-136,0.434504242143875,0.423,0.133,6.94850707026527e-132,"0","ENSG00000148826"
"ENSG00000125534",5.52968361495577e-127,0.470677564175885,0.997,0.946,1.19551759755344e-122,"0","ENSG00000125534"
"ENSG00000168653",6.08686138803307e-127,0.421289659969559,0.991,0.942,1.31597943209275e-122,"0","ENSG00000168653"
"ENSG00000165629",2.54664824538015e-125,0.439444452535494,0.981,0.888,5.50585350651189e-121,"0","ENSG00000165629"
"ENSG00000167183",3.95485528265315e-124,0.371614339208586,0.613,0.28,8.55039712109611e-120,"0","ENSG00000167183"
"ENSG00000165066",7.90306172873305e-122,0.354457725181924,0.607,0.282,1.70864194575209e-117,"0","ENSG00000165066"
"ENSG00000104549",2.54060305054029e-120,0.552791334407543,0.815,0.562,5.49278379526811e-116,"0","ENSG00000104549"
"ENSG00000112972",3.71574494560082e-114,0.435494729509184,0.477,0.197,8.03344057238897e-110,"0","ENSG00000112972"
