"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"CMO306",0,1.71519141679049,1,1,0,"0","CMO306"
"ENSG00000235770",0,1.45335378901365,0.927,0.443,0,"0","ENSG00000235770"
"ENSG00000130208",0,1.03169473673951,0.999,0.994,0,"0","ENSG00000130208"
"ENSG00000108298",4.06903030090796e-290,0.693934253446247,0.999,0.992,8.70243510455186e-286,"0","ENSG00000108298"
"ENSG00000114638",2.97710749750206e-278,1.08458324117132,0.931,0.516,6.36713980490765e-274,"0","ENSG00000114638"
"ENSG00000142168",3.1094395768459e-241,0.783403291396674,0.991,0.88,6.65015842300032e-237,"0","ENSG00000142168"
"ENSG00000243955",1.68094617371151e-240,1.05111197478874,0.997,0.905,3.59503958171681e-236,"0","ENSG00000243955"
"ENSG00000272398",3.47756743004855e-233,0.827487568481648,0.993,0.863,7.43747346264484e-229,"0","ENSG00000272398"
"ENSG00000168028",2.15323152017304e-231,0.712999095839598,1,0.971,4.60511625219407e-227,"0","ENSG00000168028"
"ENSG00000188846",1.05863053495703e-222,0.586665268262653,0.999,0.983,2.26409312511261e-218,"0","ENSG00000188846"
"ENSG00000117450",2.28404972845083e-207,0.538246313902564,0.999,0.996,4.8848971542378e-203,"0","ENSG00000117450"
"ENSG00000104549",1.28252036762348e-203,0.793450096379725,0.868,0.581,2.74292631023634e-199,"0","ENSG00000104549"
"ENSG00000131143",1.78767547469194e-203,0.551535260726209,0.999,0.986,3.82330153772365e-199,"0","ENSG00000131143"
"ENSG00000112972",1.08802543530172e-198,0.55744118685647,0.54,0.163,2.32695999847979e-194,"0","ENSG00000112972"
"ENSG00000149806",1.05127520258453e-195,0.498921551391854,0.999,0.992,2.24836227576754e-191,"0","ENSG00000149806"
"ENSG00000002586",1.46851756079083e-191,0.603589761534425,0.998,0.985,3.14071850726335e-187,"0","ENSG00000002586"
"ENSG00000104408",2.17774301636542e-191,0.687016196162693,0.995,0.93,4.65753898910073e-187,"0","ENSG00000104408"
"ENSG00000140988",2.48963333910061e-187,0.564210785044515,1,0.99,5.32457882233447e-183,"0","ENSG00000140988"
"ENSG00000165092",1.51951701451219e-186,0.624514419631373,0.997,0.966,3.24979103893721e-182,"0","ENSG00000165092"
"ENSG00000205213",2.28421503269055e-185,0.669006638282834,0.931,0.704,4.88525069041527e-181,"0","ENSG00000205213"
"ENSG00000100316",3.33837114623329e-185,0.622130527176863,0.989,0.944,7.13977437044913e-181,"0","ENSG00000100316"
"ENSG00000178980",3.71596480788933e-185,0.684008545759727,0.998,0.969,7.94733393463291e-181,"0","ENSG00000178980"
"ENSG00000135390",4.53844772202825e-180,0.524746084231293,0.997,0.984,9.70637814310181e-176,"0","ENSG00000135390"
"ENSG00000168653",1.43460592538265e-171,0.547889840530865,0.991,0.946,3.06819169261586e-167,"0","ENSG00000168653"
"ENSG00000156508",3.06878182049633e-170,0.450168123674668,1,0.996,6.5632036794955e-166,"0","ENSG00000156508"
"ENSG00000147604",3.84175636362317e-170,0.605742300699098,0.999,0.986,8.21636433488088e-166,"0","ENSG00000147604"
"ENSG00000186468",1.22132705978378e-160,0.433112486586596,1,0.992,2.61205218275956e-156,"0","ENSG00000186468"
"ENSG00000198034",2.2755021304125e-159,0.410987706316323,1,0.996,4.86661640631321e-155,"0","ENSG00000198034"
"ENSG00000240563",2.25528440600747e-158,0.642676983814902,0.876,0.632,4.82337675912818e-154,"0","ENSG00000240563"
"ENSG00000180817",1.57260476495372e-156,0.551949786149318,0.985,0.945,3.36332981080652e-152,"0","ENSG00000180817"
"ENSG00000148303",2.61812643720022e-156,0.40120043801456,0.999,0.996,5.59938701124012e-152,"0","ENSG00000148303"
"ENSG00000089220",9.92059967282923e-156,0.527125281712667,0.996,0.953,2.12171865202799e-151,"0","ENSG00000089220"
"ENSG00000165629",3.5966492185238e-151,0.53982588798915,0.979,0.896,7.69215368365685e-147,"0","ENSG00000165629"
"ENSG00000142534",5.06339965599163e-151,0.544631987135427,0.998,0.987,1.08290928442693e-146,"0","ENSG00000142534"
"ENSG00000143013",2.67630573711354e-150,0.622104040219902,0.979,0.885,5.72381507996473e-146,"0","ENSG00000143013"
"ENSG00000127324",1.05894399621909e-149,0.729408721810648,1,0.992,2.26476352471377e-145,"0","ENSG00000127324"
"ENSG00000179918",4.45434614631577e-148,0.594685826706069,0.931,0.795,9.52651010312554e-144,"0","ENSG00000179918"
"ENSG00000161970",3.93288113800938e-147,0.528453707861547,0.999,0.974,8.41125288986067e-143,"0","ENSG00000161970"
"ENSG00000198931",4.4740597899416e-147,0.483707737752759,0.991,0.974,9.56867167274811e-143,"0","ENSG00000198931"
"ENSG00000240972",9.68637539718854e-146,0.481336090678736,0.998,0.989,2.07162510619671e-141,"0","ENSG00000240972"
"ENSG00000052802",2.15924090027557e-145,0.552880953051944,0.628,0.299,4.61796851341936e-141,"0","ENSG00000052802"
"ENSG00000164587",2.11092639381502e-144,0.369848195710412,1,0.995,4.51463827845219e-140,"0","ENSG00000164587"
"ENSG00000154518",1.75908732805042e-143,0.489421583341181,0.997,0.977,3.76216006850144e-139,"0","ENSG00000154518"
"ENSG00000187210",2.45097550718085e-143,0.506010996266374,0.75,0.421,5.24190131720768e-139,"0","ENSG00000187210"
"ENSG00000087460",7.28483849699331e-143,0.486239639951065,0.996,0.975,1.55800840935196e-138,"0","ENSG00000087460"
"ENSG00000142676",2.39178142316899e-141,0.393335410380313,1,0.996,5.11530292973152e-137,"0","ENSG00000142676"
"ENSG00000075624",3.09891153284548e-141,0.50319635591323,0.999,0.996,6.62764209529662e-137,"0","ENSG00000075624"
"ENSG00000198755",4.01587771915301e-140,0.481187697676662,0.996,0.973,8.58875767795254e-136,"0","ENSG00000198755"
"ENSG00000171858",3.39506794144571e-137,0.480227684677686,1,0.954,7.26103180636994e-133,"0","ENSG00000171858"
"ENSG00000131469",1.16209188231308e-135,0.465566932577005,0.998,0.965,2.48536590870298e-131,"0","ENSG00000131469"
"ENSG00000174444",1.59304905504521e-134,0.462272823653825,0.994,0.96,3.40705401402519e-130,"0","ENSG00000174444"
"ENSG00000142541",1.92736600417976e-134,0.657910016071563,1,0.977,4.12205767313924e-130,"0","ENSG00000142541"
"ENSG00000109475",8.50194249370257e-134,0.413542924987213,1,0.991,1.81831044112817e-129,"0","ENSG00000109475"
"ENSG00000116251",1.52854865015465e-133,0.378733019707868,1,0.991,3.26910699808574e-129,"0","ENSG00000116251"
"ENSG00000156467",5.88731961430297e-133,0.533219254566368,0.966,0.855,1.25912104591098e-128,"0","ENSG00000156467"
"ENSG00000123179",7.21558494378527e-132,0.497110554857559,0.933,0.77,1.54319715192735e-127,"0","ENSG00000123179"
"ENSG00000186480",1.19113341281702e-130,0.434368613852694,0.486,0.178,2.54747702999176e-126,"0","ENSG00000186480"
"ENSG00000166165",1.31127179954399e-130,0.551257164228248,0.989,0.937,2.80441699768473e-126,"0","ENSG00000166165"
"ENSG00000198242",2.31767799183234e-130,0.463463356693452,0.997,0.982,4.95681792113183e-126,"0","ENSG00000198242"
"ENSG00000170889",6.41346233064978e-130,0.424436537006203,0.999,0.983,1.37164718865607e-125,"0","ENSG00000170889"
"ENSG00000108107",2.47588318882103e-129,0.349879649539146,1,0.997,5.29517137593154e-125,"0","ENSG00000108107"
"ENSG00000163682",6.39464538835506e-129,0.440058200603811,0.999,0.988,1.3676228092075e-124,"0","ENSG00000163682"
"ENSG00000117691",8.43581784063587e-129,0.464212123909219,0.988,0.923,1.80416836157679e-124,"0","ENSG00000117691"
"ENSG00000214530",2.60388462369406e-127,0.647472827956291,0.967,0.866,5.56892804469449e-123,"0","ENSG00000214530"
"ENSG00000124172",2.21233737067259e-125,0.388311908404939,0.998,0.981,4.73152593465747e-121,"0","ENSG00000124172"
"ENSG00000167641",8.18637076469695e-125,0.601263649638331,0.956,0.847,1.75081911544574e-120,"0","ENSG00000167641"
"ENSG00000164405",1.22611254811598e-122,0.44055912174693,0.995,0.974,2.62228690665565e-118,"0","ENSG00000164405"
"ENSG00000166228",1.04268342794782e-121,0.480115726807288,0.945,0.79,2.229987047352e-117,"0","ENSG00000166228"
"ENSG00000149809",2.27711300008021e-121,0.396434559293823,0.589,0.291,4.87006157327155e-117,"0","ENSG00000149809"
"ENSG00000144713",1.82550682637877e-118,0.348631170118431,1,0.989,3.90421144957627e-114,"0","ENSG00000144713"
"ENSG00000083845",2.3059453214385e-118,0.336942234415756,1,0.996,4.93172525896052e-114,"0","ENSG00000083845"
"ENSG00000118181",4.20071599760664e-118,0.423306475028372,0.999,0.984,8.98407130408133e-114,"0","ENSG00000118181"
"ENSG00000079689",3.17993482925357e-117,0.437575463295672,0.582,0.261,6.80092661932461e-113,"0","ENSG00000079689"
"ENSG00000104823",6.8042213082247e-117,0.467875644807684,0.979,0.941,1.45521881119002e-112,"0","ENSG00000104823"
"ENSG00000147677",2.23720219184437e-116,0.463742842312247,0.969,0.898,4.78470432769756e-112,"0","ENSG00000147677"
"ENSG00000164919",7.22842740151404e-116,0.437681037011254,0.991,0.949,1.54594376836181e-111,"0","ENSG00000164919"
"ENSG00000186591",3.40435539982451e-115,0.485177295936891,0.773,0.533,7.28089489360468e-111,"0","ENSG00000186591"
"ENSG00000165066",5.26513737261777e-115,0.406395499290157,0.622,0.31,1.12605492988176e-110,"0","ENSG00000165066"
"ENSG00000063177",1.76766311989418e-114,0.287787729141387,1,0.997,3.78050111451767e-110,"0","ENSG00000063177"
"ENSG00000080493",9.80399854446309e-114,0.327677982453691,0.275,0.06,2.09678116870432e-109,"0","ENSG00000080493"
"ENSG00000138326",2.64201338122746e-112,0.43391027078327,1,0.994,5.65047401843117e-108,"0","ENSG00000138326"
"ENSG00000182899",7.79059762091024e-112,0.352932018255204,0.999,0.99,1.66617511318407e-107,"0","ENSG00000182899"
"ENSG00000130005",4.12712978191524e-111,0.464036350345707,0.849,0.604,8.82669246458213e-107,"0","ENSG00000130005"
"ENSG00000096384",1.88755740832339e-108,0.456533563685037,1,0.985,4.03691902918124e-104,"0","ENSG00000096384"
"ENSG00000160867",4.64876004959449e-108,0.27560370832867,0.414,0.15,9.94230311806774e-104,"0","ENSG00000160867"
"ENSG00000142507",1.01074143499072e-107,0.447321712139196,0.97,0.89,2.16167270701465e-103,"0","ENSG00000142507"
"ENSG00000108561",4.93159897436811e-107,0.450755381487742,0.975,0.918,1.05472107264811e-102,"0","ENSG00000108561"
"ENSG00000173272",5.01505716954696e-107,0.449422960026312,0.941,0.754,1.07257027685101e-102,"0","ENSG00000173272"
"ENSG00000111716",1.05818755346826e-106,0.407114239366074,0.997,0.986,2.26314572060257e-102,"0","ENSG00000111716"
"ENSG00000110492",1.81116287553164e-105,0.391629505620479,0.999,0.996,3.87353404189951e-101,"0","ENSG00000110492"
