"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"ENSG00000251562",1.54992767669227e-185,0.860190559947157,0.999,0.971,3.20401049325826e-181,"0","ENSG00000251562"
"ENSG00000235770",4.05326485339192e-176,0.828266721730269,0.961,0.805,8.37890910493177e-172,"0","ENSG00000235770"
"ENSG00000130208",7.59211872011045e-122,0.483001571733138,1,0.997,1.56944278182123e-117,"0","ENSG00000130208"
"ENSG00000109475",5.94977194580175e-101,0.333788822291265,1,0.995,1.22993685663614e-96,"0","ENSG00000109475"
"ENSG00000245532",5.7663633567608e-98,0.558878097898425,0.997,0.957,1.19202263310959e-93,"0","ENSG00000245532"
"ENSG00000198712",3.37839337192845e-93,0.516357497063064,1,0.989,6.9838147784505e-89,"0","ENSG00000198712"
"ENSG00000130203",5.69780179356905e-90,0.419590425299557,1,0.999,1.17784958676659e-85,"0","ENSG00000130203"
"ENSG00000267002",5.34043449425248e-87,0.556535667750076,0.636,0.37,1.10397461865187e-82,"0","ENSG00000267002"
"ENSG00000198804",8.96817701859449e-73,0.453667945649467,1,0.974,1.85390155328385e-68,"0","ENSG00000198804"
"ENSG00000002586",1.60659252115065e-71,0.365233894183508,0.998,0.99,3.32114805972262e-67,"0","ENSG00000002586"
"ENSG00000156508",2.33206484098519e-69,0.276744758987441,1,0.997,4.82084443928458e-65,"0","ENSG00000156508"
"ENSG00000229807",9.26165958127985e-69,0.409854506088992,0.915,0.788,1.91457026864217e-64,"0","ENSG00000229807"
"ENSG00000198886",1.41572659729828e-61,0.40380162395428,1,0.963,2.92659002193501e-57,"0","ENSG00000198886"
"ENSG00000205542",3.95572361115907e-60,0.29951802360549,1,0.997,8.17727184898803e-56,"0","ENSG00000205542"
"ENSG00000198763",1.46384986423664e-56,0.339335425480379,0.988,0.894,3.02607043934999e-52,"0","ENSG00000198763"
"ENSG00000146278",6.47087011383362e-55,0.272361429847772,0.601,0.389,1.33765826993169e-50,"0","ENSG00000146278"
"ENSG00000198727",2.42484995508247e-53,0.376835172416883,1,0.967,5.01264982714649e-49,"0","ENSG00000198727"
"ENSG00000198899",3.21132341872426e-51,0.349336386146123,0.999,0.954,6.63844777118679e-47,"0","ENSG00000198899"
"ENSG00000080493",2.02889387064987e-50,0.275249394241484,0.312,0.133,4.19412940940742e-46,"0","ENSG00000080493"
"ENSG00000186591",2.21917044608913e-50,0.300772778326194,0.813,0.687,4.58746914615545e-46,"0","ENSG00000186591"
"ENSG00000266010",6.99548225750937e-49,0.320432213610885,0.837,0.703,1.44610609227234e-44,"0","ENSG00000266010"
"ENSG00000198888",8.04972683827944e-49,0.306705286371062,0.99,0.904,1.66403953200913e-44,"0","ENSG00000198888"
"ENSG00000198938",1.79162891860272e-48,0.309867751560335,1,0.951,3.70365530053555e-44,"0","ENSG00000198938"
"ENSG00000198786",3.14574337489174e-48,0.332905792705588,0.921,0.784,6.5028807045762e-44,"0","ENSG00000198786"
"ENSG00000179918",4.26732103799895e-48,0.337680014319576,0.924,0.874,8.82140604975144e-44,"0","ENSG00000179918"
"ENSG00000148700",7.99823326501574e-48,0.32046993804282,0.959,0.9,1.65339478054405e-43,"0","ENSG00000148700"
"ENSG00000205213",1.19742800031548e-46,0.306508251262608,0.945,0.887,2.47532316225215e-42,"0","ENSG00000205213"
"ENSG00000189409",9.20510631779699e-46,0.305474693378791,0.774,0.624,1.90287957801499e-41,"0","ENSG00000189409"
"ENSG00000143013",5.61436915922793e-45,0.315764461009026,0.984,0.948,1.1606023925956e-40,"0","ENSG00000143013"
"ENSG00000142534",7.38226353875085e-45,0.254330487406102,0.999,0.994,1.52606151873058e-40,"0","ENSG00000142534"
"ENSG00000125691",2.32036130112057e-44,0.304409170851887,0.995,0.978,4.79665088167645e-40,"0","ENSG00000125691"
"ENSG00000100979",2.46945492953282e-43,0.280044131369912,0.968,0.914,5.10485723033025e-39,"0","ENSG00000100979"
"ENSG00000085276",7.65793650721982e-42,0.296325853499227,0.84,0.759,1.58304863477248e-37,"0","ENSG00000085276"
"ENSG00000162576",3.0420728726318e-41,0.261261075102349,0.802,0.685,6.28857304230445e-37,"0","ENSG00000162576"
"ENSG00000133657",2.04390904616045e-38,0.254524346469439,0.684,0.551,4.22516878022289e-34,"0","ENSG00000133657"
"ENSG00000142541",5.5229430930542e-38,0.302025044310208,1,0.994,1.14170279619616e-33,"0","ENSG00000142541"
"ENSG00000130066",4.58327606145712e-36,0.290099591437771,0.576,0.412,9.47454827424417e-32,"0","ENSG00000130066"
"ENSG00000130234",6.481605821247e-36,0.340110530769703,0.927,0.866,1.33987755536818e-31,"0","ENSG00000130234"
"ENSG00000145349",1.57646595628208e-35,0.290973994786482,0.872,0.786,3.25887042482632e-31,"0","ENSG00000145349"
"ENSG00000147257",1.17528211673061e-30,0.254310715718642,0.847,0.762,2.42954319170552e-26,"0","ENSG00000147257"
"ENSG00000240563",1.74716574062173e-29,0.266734161914904,0.895,0.83,3.61174101901324e-25,"0","ENSG00000240563"
"ENSG00000176046",3.54127561474501e-29,0.315976672601617,0.835,0.746,7.32052495080089e-25,"0","ENSG00000176046"
"ENSG00000126458",1.77166467641593e-28,0.256079346716373,0.879,0.809,3.66238521908701e-24,"0","ENSG00000126458"
"ENSG00000104549",5.01343668588543e-28,0.283558184377124,0.863,0.794,1.03637763170624e-23,"0","ENSG00000104549"
"ENSG00000151012",2.02559433407078e-23,0.252725751010648,0.792,0.716,4.18730860739112e-19,"0","ENSG00000151012"
"ENSG00000127324",1.79146984707153e-22,0.252559835797157,1,0.997,3.70332646786627e-18,"0","ENSG00000127324"
"CMO306",5.38221248622161e-14,0.315043307526318,1,1,1.11261096515173e-09,"0","CMO306"
"ENSG00000111057",1.07466814366561e-164,0.768974747517339,1,0.994,2.22155398658554e-160,"1","ENSG00000111057"
"ENSG00000105369",1.43206934833738e-147,0.634503929796877,0.682,0.281,2.96037375688304e-143,"1","ENSG00000105369"
"ENSG00000163993",2.3436114987024e-136,0.895022519359875,0.988,0.893,4.8447136901176e-132,"1","ENSG00000163993"
"ENSG00000170421",4.64025530067053e-133,0.644876549109061,1,0.992,9.59233575754613e-129,"1","ENSG00000170421"
"ENSG00000142227",2.19662271678927e-130,0.770783643537911,0.956,0.71,4.54085848014677e-126,"1","ENSG00000142227"
"ENSG00000090382",7.65132079026074e-119,1.23289358976078,0.966,0.816,1.5816810337627e-114,"1","ENSG00000090382"
"ENSG00000102265",6.96544786013788e-116,1.21478876376515,0.943,0.736,1.4398973816477e-111,"1","ENSG00000102265"
"ENSG00000148180",5.92663051168666e-104,0.673879916119889,0.97,0.836,1.22515305937587e-99,"1","ENSG00000148180"
"ENSG00000142669",6.73790301369386e-94,0.614646495052004,1,0.985,1.3928593109908e-89,"1","ENSG00000142669"
"ENSG00000074416",3.01741654852779e-93,0.489475950961819,0.776,0.461,6.23760348911666e-89,"1","ENSG00000074416"
"ENSG00000134193",2.25186427440207e-87,0.507096615209536,1,0.992,4.65505382804396e-83,"1","ENSG00000134193"
"ENSG00000168631",6.88490051602372e-86,0.623928639080772,0.939,0.784,1.42324663467242e-81,"1","ENSG00000168631"
"ENSG00000124570",2.11543373286733e-84,0.50621089240839,0.977,0.881,4.37302461258334e-80,"1","ENSG00000124570"
"ENSG00000130513",2.42332836129811e-83,0.754690622267223,0.914,0.736,5.00950438847546e-79,"1","ENSG00000130513"
"ENSG00000067225",5.12310231888632e-82,0.478038831671608,1,0.989,1.05904771136018e-77,"1","ENSG00000067225"
"ENSG00000160180",1.39090217718755e-79,0.793820315601235,0.971,0.909,2.87527298068211e-75,"1","ENSG00000160180"
"ENSG00000109511",8.76595423715435e-75,0.538885395363354,0.99,0.911,1.81209805990455e-70,"1","ENSG00000109511"
"ENSG00000150687",1.00775232237334e-74,0.431384551321724,0.82,0.545,2.08322560081017e-70,"1","ENSG00000150687"
"ENSG00000158710",1.22188711921498e-73,0.362226248998062,1,0.994,2.5258850528412e-69,"1","ENSG00000158710"
"ENSG00000106541",2.35280464029605e-72,0.513211441675473,0.989,0.942,4.86371775242e-68,"1","ENSG00000106541"
"ENSG00000179403",3.10457517090002e-70,0.359023178895465,0.73,0.456,6.41777779328453e-66,"1","ENSG00000179403"
"ENSG00000163191",9.51027242031239e-70,0.490097758235874,0.991,0.931,1.96596351472698e-65,"1","ENSG00000163191"
"ENSG00000006606",6.03160092874749e-69,1.21819712514899,0.819,0.618,1.24685254399068e-64,"1","ENSG00000006606"
"ENSG00000114771",6.27179211798036e-68,0.497251309001889,0.4,0.161,1.2965048666289e-63,"1","ENSG00000114771"
"ENSG00000169908",1.8896977900804e-67,0.571380312658252,0.977,0.907,3.90638327165419e-63,"1","ENSG00000169908"
"ENSG00000104964",1.05233102752683e-59,0.590063020904431,0.996,0.973,2.17537870010346e-55,"1","ENSG00000104964"
"ENSG00000167641",2.27511702074784e-59,0.419163928493468,0.979,0.918,4.70312190528994e-55,"1","ENSG00000167641"
"ENSG00000203697",3.53064758058425e-57,0.270826129252218,0.486,0.241,7.29855467858377e-53,"1","ENSG00000203697"
"ENSG00000160182",4.1342661328329e-57,0.600319787716828,1,0.979,8.54635494979217e-53,"1","ENSG00000160182"
"ENSG00000112699",1.69876825899432e-51,0.305751524751068,0.727,0.515,3.51169374499306e-47,"1","ENSG00000112699"
"ENSG00000197956",8.21121266168481e-51,0.843702367981595,0.521,0.282,1.69742188142348e-46,"1","ENSG00000197956"
"ENSG00000142634",4.58306156855404e-48,0.286693179375762,0.685,0.455,9.47410487451491e-44,"1","ENSG00000142634"
"ENSG00000120885",1.08409196100142e-47,0.376586613095906,0.998,0.981,2.24103490178213e-43,"1","ENSG00000120885"
"ENSG00000167183",7.61294922718801e-46,0.3511302895108,0.759,0.575,1.57374886424431e-41,"1","ENSG00000167183"
"ENSG00000150782",1.04543426015193e-45,0.32415695939893,0.681,0.464,2.16112170258607e-41,"1","ENSG00000150782"
"ENSG00000085063",4.04041476141385e-44,0.318216428187724,0.94,0.843,8.35234539479471e-40,"1","ENSG00000085063"
"ENSG00000068697",2.55425541375489e-42,0.31532587105925,0.944,0.877,5.2801567913141e-38,"1","ENSG00000068697"
"ENSG00000165949",1.02739706807627e-41,0.526183944960492,0.571,0.363,2.12383521912727e-37,"1","ENSG00000165949"
"ENSG00000135404",7.51758544640906e-41,0.257226033868766,1,0.993,1.55403526348168e-36,"1","ENSG00000135404"
"ENSG00000103769",3.75077327380875e-40,0.296571548363214,0.971,0.903,7.75359851161745e-36,"1","ENSG00000103769"
"ENSG00000164111",1.59420140485146e-36,0.288544922127329,0.981,0.935,3.29553314410894e-32,"1","ENSG00000164111"
"ENSG00000175416",3.14203925024006e-36,0.328079543006802,0.878,0.742,6.49522353809626e-32,"1","ENSG00000175416"
"ENSG00000120306",1.84411542341382e-33,0.257863772897869,0.999,0.991,3.81215540328106e-29,"1","ENSG00000120306"
"ENSG000001273241",2.49944555377875e-33,0.34051502490147,1,0.997,5.16685384877142e-29,"1","ENSG00000127324"
"ENSG00000105971",3.36799636518936e-33,0.332151848001974,0.72,0.555,6.96232208611945e-29,"1","ENSG00000105971"
"ENSG00000110092",1.35163917943213e-32,0.274225256492451,0.713,0.519,2.7941085117221e-28,"1","ENSG00000110092"
"ENSG00000196352",3.97193941255706e-31,0.254297251091889,0.52,0.328,8.21079315363796e-27,"1","ENSG00000196352"
