"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"ENSG00000235770",0,1.09860191487187,0.948,0.622,0,"0","ENSG00000235770"
"ENSG00000243955",0,0.800764709302642,0.999,0.949,0,"0","ENSG00000243955"
"ENSG00000130208",0,0.718679840985839,1,0.996,0,"0","ENSG00000130208"
"ENSG00000002586",2.93072364116555e-262,0.474153054459798,0.998,0.988,6.6688616454722e-258,"0","ENSG00000002586"
"ENSG00000272398",1.07933994884792e-226,0.482715175346613,0.994,0.922,2.45603805360345e-222,"0","ENSG00000272398"
"ENSG00000165092",9.63543724243134e-215,0.414074569111965,0.999,0.978,2.19254374451525e-210,"0","ENSG00000165092"
"ENSG00000114638",4.84683782786738e-202,0.571892610009712,0.92,0.706,1.10289794773122e-197,"0","ENSG00000114638"
"ENSG00000108298",2.80543024381164e-201,0.35907608498589,1,0.995,6.38375651979338e-197,"0","ENSG00000108298"
"ENSG00000205213",1.30308533628089e-194,0.430668072326579,0.931,0.793,2.96517068270717e-190,"0","ENSG00000205213"
"ENSG00000156508",1.74615341758412e-190,0.312984420551075,1,0.997,3.97337210171267e-186,"0","ENSG00000156508"
"ENSG00000104549",2.60486443916111e-178,0.489449947194874,0.851,0.694,5.9273690313111e-174,"0","ENSG00000104549"
"ENSG00000100979",2.35360204014573e-175,0.415401795451969,0.966,0.899,5.35562144235162e-171,"0","ENSG00000100979"
"ENSG00000149809",9.25084903474827e-173,0.346587886714024,0.588,0.359,2.10503069785697e-168,"0","ENSG00000149809"
"ENSG00000179918",2.20976552889261e-168,0.432283285334089,0.901,0.826,5.02832146099513e-164,"0","ENSG00000179918"
"ENSG00000112972",2.66786202057351e-166,0.411997336156399,0.523,0.283,6.07072002781502e-162,"0","ENSG00000112972"
"ENSG00000130203",5.7484425428499e-162,0.385134870731981,1,0.999,1.3080581006255e-157,"0","ENSG00000130203"
"ENSG00000267002",2.9931672118152e-159,0.484590812315762,0.579,0.351,6.81095199048548e-155,"0","ENSG00000267002"
"ENSG00000251562",9.98097644430505e-157,0.568306040049359,0.986,0.961,2.27117118990161e-152,"0","ENSG00000251562"
"ENSG00000162576",1.15751263891599e-153,0.345435710253197,0.784,0.609,2.63392000985333e-149,"0","ENSG00000162576"
"ENSG00000109475",5.25193872882186e-152,0.292382668706257,1,0.993,1.19507865774342e-147,"0","ENSG00000109475"
"ENSG00000240972",1.09459123227648e-145,0.319537846965565,1,0.991,2.49074234904513e-141,"0","ENSG00000240972"
"ENSG00000178980",4.10475977161644e-144,0.378896306481896,0.998,0.981,9.34038086031321e-140,"0","ENSG00000178980"
"CMO306",4.47755584376331e-143,1.25246089738986,1,1,1.01886783224834e-138,"0","CMO306"
"ENSG00000166165",4.61045657956086e-142,0.369608132683208,0.993,0.956,1.04910939467907e-137,"0","ENSG00000166165"
"ENSG00000117450",5.71673227160886e-142,0.281829795592564,1,0.997,1.3008424284046e-137,"0","ENSG00000117450"
"ENSG00000167641",1.06987078419706e-139,0.414508540154522,0.961,0.882,2.43449096944041e-135,"0","ENSG00000167641"
"ENSG00000240563",8.60906762900434e-139,0.394697688625841,0.869,0.736,1.95899333897994e-134,"0","ENSG00000240563"
"ENSG00000123933",2.12047006102497e-137,0.337083430157884,0.699,0.526,4.82512962386232e-133,"0","ENSG00000123933"
"ENSG00000250742",1.83160693207778e-136,0.333970103202602,0.552,0.352,4.167821573943e-132,"0","ENSG00000250742"
"ENSG00000189409",5.95411457548349e-136,0.377018548484763,0.746,0.569,1.35485877165127e-131,"0","ENSG00000189409"
"ENSG00000127324",1.77696661454124e-128,0.433656669677903,1,0.995,4.0434875313886e-124,"0","ENSG00000127324"
"ENSG00000186591",3.61241099626298e-128,0.336896175914114,0.747,0.59,8.2200412219964e-124,"0","ENSG00000186591"
"ENSG00000104823",4.89279993309037e-126,0.323815245816906,0.985,0.954,1.11335662477471e-121,"0","ENSG00000104823"
"ENSG00000153822",8.7971936081219e-125,0.318009460367618,0.582,0.386,2.00180140552814e-120,"0","ENSG00000153822"
"ENSG00000185252",1.03061593618955e-124,0.310001412623534,0.979,0.92,2.34516656279933e-120,"0","ENSG00000185252"
"ENSG00000143013",2.81053198380197e-124,0.35036494485136,0.98,0.92,6.39536552914138e-120,"0","ENSG00000143013"
"ENSG00000052802",1.1251543004823e-120,0.373784700696525,0.615,0.428,2.56028861074746e-116,"0","ENSG00000052802"
"ENSG00000214530",9.29385885849624e-119,0.385635876071111,0.974,0.904,2.11481758325082e-114,"0","ENSG00000214530"
"ENSG00000110492",1.08132448063818e-115,0.281091197253007,1,0.997,2.46055385569219e-111,"0","ENSG00000110492"
"ENSG00000085276",1.35686069266549e-112,0.329853811269104,0.799,0.675,3.08753650616031e-108,"0","ENSG00000085276"
"ENSG00000135390",1.07965331113598e-111,0.263392636696644,1,0.987,2.45675110948992e-107,"0","ENSG00000135390"
"ENSG00000112667",3.42883674937579e-110,0.297140165966215,0.96,0.907,7.80231802320461e-106,"0","ENSG00000112667"
"ENSG00000123179",1.34152830366412e-109,0.291700544526644,0.93,0.844,3.0526476549877e-105,"0","ENSG00000123179"
"ENSG00000167614",5.38468680498175e-109,0.346123932428088,0.688,0.512,1.2252854824736e-104,"0","ENSG00000167614"
"ENSG00000245532",1.05332728348074e-108,0.387258638928501,0.978,0.939,2.39684623356043e-104,"0","ENSG00000245532"
"ENSG00000080493",8.95774596720637e-108,0.250632268641153,0.26,0.104,2.03833509483781e-103,"0","ENSG00000080493"
"ENSG00000100316",6.68889230923769e-106,0.290907224004973,0.995,0.966,1.52205744496704e-101,"0","ENSG00000100316"
"ENSG00000187210",7.80576340155587e-106,0.311004237431966,0.725,0.557,1.77620146202404e-101,"0","ENSG00000187210"
"ENSG00000106538",2.04629289722314e-103,0.269799814993391,0.999,0.994,4.65633948763126e-99,"0","ENSG00000106538"
"ENSG00000160948",2.4687900736675e-102,0.261342335253425,0.974,0.939,5.6177318126304e-98,"0","ENSG00000160948"
"ENSG00000165066",1.63099202822073e-95,0.26473995919986,0.603,0.425,3.71132236021627e-91,"0","ENSG00000165066"
"ENSG00000079689",3.44572174104064e-94,0.309956425576852,0.576,0.386,7.84073982173797e-90,"0","ENSG00000079689"
"ENSG00000168653",9.42024002383748e-91,0.253057992823952,0.993,0.967,2.14357561742422e-86,"0","ENSG00000168653"
"ENSG00000075624",4.58165299689918e-89,0.261786851245581,0.999,0.996,1.04255513944441e-84,"0","ENSG00000075624"
"ENSG00000170899",2.22677209473383e-86,0.252360427874285,0.604,0.461,5.06701990156682e-82,"0","ENSG00000170899"
"ENSG00000126458",4.42576087672246e-83,0.30267477170306,0.87,0.782,1.0070818874982e-78,"0","ENSG00000126458"
"ENSG00000083807",2.25111756117956e-82,0.264634817543689,0.763,0.654,5.1224180104641e-78,"0","ENSG00000083807"
"ENSG00000186480",9.82458020618678e-82,0.270064334980092,0.485,0.317,2.2355832259178e-77,"0","ENSG00000186480"
"CMO304",2.31603381808331e-81,0.872696064419712,1,1,5.27013495304858e-77,"0","CMO304"
"ENSG00000152234",5.22228887602744e-80,0.253691649642537,0.951,0.901,1.18833183374004e-75,"0","ENSG00000152234"
"ENSG00000148700",5.98019173009048e-80,0.280500414874038,0.922,0.864,1.36079262818209e-75,"0","ENSG00000148700"
"ENSG00000104408",4.50164058624082e-79,0.254456429854359,0.992,0.957,1.0243483153991e-74,"0","ENSG00000104408"
"ENSG00000134812",4.44123964916041e-75,0.285270678060843,0.517,0.349,1.01060408216645e-70,"0","ENSG00000134812"
"ENSG00000130234",1.88252382797779e-73,0.293111221001067,0.924,0.856,4.28368297056347e-69,"0","ENSG00000130234"
"ENSG00000136156",4.72523078140679e-73,0.252742288247586,0.969,0.945,1.07522626430912e-68,"0","ENSG00000136156"
"ENSG00000145349",2.40514419492425e-72,0.266761773609192,0.829,0.738,5.47290561555014e-68,"0","ENSG00000145349"
"ENSG00000106853",1.55259963471813e-71,0.268848590295904,0.997,0.986,3.5329404688011e-67,"0","ENSG00000106853"
"ENSG00000130066",7.45149730616697e-71,0.252903080272811,0.498,0.351,1.69558821201829e-66,"0","ENSG00000130066"
"ENSG00000198712",7.59235656211512e-55,0.286361742947484,0.995,0.986,1.7276407357093e-50,"0","ENSG00000198712"
"ENSG00000142541",9.8649948419857e-55,0.25239860907631,1,0.986,2.24477957629385e-50,"0","ENSG00000142541"
"CMO303",0,2.44469967036352,1,1,0,"1","CMO303"
"ENSG00000161011",0,1.11583639896702,0.994,0.971,0,"1","ENSG00000161011"
"ENSG00000051108",0,1.01639432836877,0.848,0.513,0,"1","ENSG00000051108"
"ENSG00000260916",0,0.879599120299875,0.828,0.495,0,"1","ENSG00000260916"
"ENSG00000164713",0,0.748974162430563,0.999,0.984,0,"1","ENSG00000164713"
"ENSG00000070669",2.48286642409232e-307,0.811238332893655,0.831,0.45,5.64976254802208e-303,"1","ENSG00000070669"
"ENSG00000163993",2.43324845899027e-301,1.05596992000218,0.992,0.898,5.53685686843236e-297,"1","ENSG00000163993"
"ENSG00000168003",9.05263114828309e-298,0.994988103466266,0.95,0.788,2.05992621779182e-293,"1","ENSG00000168003"
"ENSG000001302031",2.95153531172623e-293,0.841362104429307,1,0.999,6.71621860183304e-289,"1","ENSG00000130203"
"ENSG00000176046",3.90277699848735e-269,0.87894882697069,0.959,0.767,8.88076906005796e-265,"1","ENSG00000176046"
"ENSG00000167996",1.84291719289299e-264,0.603858365221356,1,1,4.193558072428e-260,"1","ENSG00000167996"
"ENSG00000044574",3.32031578041028e-240,0.945813731228973,0.987,0.957,7.5553785583236e-236,"1","ENSG00000044574"
"ENSG00000187840",4.27060695095534e-238,0.708408814335018,0.891,0.632,9.71776611689887e-234,"1","ENSG00000187840"
"ENSG00000031698",3.4729947944343e-217,0.610616664057164,0.901,0.712,7.90279965473526e-213,"1","ENSG00000031698"
"ENSG00000198763",4.43096549944362e-215,1.07973803467577,0.968,0.917,1.0082661993984e-210,"1","ENSG00000198763"
"ENSG00000135069",1.25178729272204e-214,0.667788911020141,0.864,0.61,2.848441984589e-210,"1","ENSG00000135069"
"ENSG00000177410",1.89331954591612e-202,0.65828716748078,0.961,0.896,4.30824862673212e-198,"1","ENSG00000177410"
