"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"ENSG00000243955",1.2198496690798e-244,1.49957320529465,0.996,0.825,2.49459257326818e-240,"0","ENSG00000243955"
"ENSG00000130208",1.00143303207881e-185,0.873671192012922,1,0.989,2.04793055060117e-181,"0","ENSG00000130208"
"ENSG00000108298",1.62962200859994e-167,0.724407643317308,0.999,0.987,3.33257700758688e-163,"0","ENSG00000108298"
"ENSG00000130203",3.3960569094028e-130,0.703493750055815,1,0.998,6.94493637972872e-126,"0","ENSG00000130203"
"ENSG00000185252",2.1344274449603e-125,0.682112536470521,0.97,0.827,4.36490412494381e-121,"0","ENSG00000185252"
"ENSG00000248144",1.85584305570196e-118,0.611469317200944,0.549,0.18,3.7951990489105e-114,"0","ENSG00000248144"
"ENSG00000100979",5.3808137264062e-115,0.672190219556398,0.943,0.839,1.10037640705007e-110,"0","ENSG00000100979"
"ENSG00000166165",1.69175947190722e-109,0.651674438507222,0.98,0.901,3.45964812005026e-105,"0","ENSG00000166165"
"ENSG00000155660",1.48363521118727e-105,0.782601616056698,0.951,0.87,3.03403400687796e-101,"0","ENSG00000155660"
"ENSG00000130234",1.25172945528735e-101,0.778484789980737,0.913,0.764,2.55978673606263e-97,"0","ENSG00000130234"
"ENSG00000235770",1.18301808992839e-99,0.580589621143164,0.536,0.207,2.41927199390356e-95,"0","ENSG00000235770"
"ENSG00000142676",3.71150974550142e-96,0.457045380884854,1,0.994,7.5900374295504e-92,"0","ENSG00000142676"
"ENSG00000111716",3.02138158182011e-93,0.513110878924356,0.998,0.979,6.17872533482213e-89,"0","ENSG00000111716"
"ENSG00000145425",6.3060387645771e-91,0.471899607580649,1,0.995,1.28958492735602e-86,"0","ENSG00000145425"
"ENSG00000109475",7.45525171918147e-90,0.494237922929247,1,0.986,1.52459897657261e-85,"0","ENSG00000109475"
"ENSG00000266010",1.34565461709935e-87,0.672157759011984,0.831,0.593,2.75186369196816e-83,"0","ENSG00000266010"
"ENSG00000171858",9.84744451294322e-83,0.495837082480203,0.976,0.925,2.01380240289689e-78,"0","ENSG00000171858"
"ENSG00000166598",4.3694535834689e-82,0.6754191266662,0.994,0.968,8.9355325781939e-78,"0","ENSG00000166598"
"ENSG00000138326",2.36674194993888e-77,0.460112294630926,0.999,0.992,4.83998728762501e-73,"0","ENSG00000138326"
"ENSG00000143013",4.26553176309913e-77,0.55511484544757,0.928,0.831,8.72301245553772e-73,"0","ENSG00000143013"
"ENSG00000267002",7.51547848177909e-75,0.55347368264707,0.507,0.236,1.53691534952382e-70,"0","ENSG00000267002"
"ENSG00000137818",1.77024898496612e-74,0.33289599495551,0.999,0.995,3.62015917425571e-70,"0","ENSG00000137818"
"ENSG00000108107",4.37796389095127e-69,0.368459114381432,1,0.996,8.95293615699536e-65,"0","ENSG00000108107"
"ENSG00000198918",1.73243131260803e-68,0.364697818623421,0.999,0.991,3.54282203428343e-64,"0","ENSG00000198918"
"ENSG00000124766",4.14339601948356e-65,0.514614400628573,0.988,0.934,8.47324485984389e-61,"0","ENSG00000124766"
"ENSG00000092621",5.84579091776584e-65,0.488544501865063,0.925,0.806,1.19546424268311e-60,"0","ENSG00000092621"
"ENSG00000167004",1.86151102880516e-63,0.48297229907483,0.988,0.96,3.80679005390655e-59,"0","ENSG00000167004"
"ENSG00000122406",1.08488745313319e-58,0.362290602467954,0.999,0.993,2.21859484165738e-54,"0","ENSG00000122406"
"ENSG00000186468",1.32289187405247e-58,0.364204500327857,0.999,0.988,2.70531388243729e-54,"0","ENSG00000186468"
"ENSG00000180879",6.4158479008058e-58,0.375266016061983,0.991,0.972,1.31204089571479e-53,"0","ENSG00000180879"
"ENSG00000002586",1.69958433218704e-56,0.414531710120065,0.997,0.978,3.4756499593225e-52,"0","ENSG00000002586"
"ENSG00000145592",3.52467794544898e-55,0.398420977849657,0.998,0.98,7.20796639844315e-51,"0","ENSG00000145592"
"ENSG00000149806",8.15306909771727e-55,0.342500127394039,0.997,0.988,1.66730263048318e-50,"0","ENSG00000149806"
"ENSG00000163682",1.45639915322051e-54,0.369690196550604,0.999,0.982,2.97833626833595e-50,"0","ENSG00000163682"
"ENSG00000112306",2.08282766952239e-54,0.310368288036877,1,0.995,4.25938258417329e-50,"0","ENSG00000112306"
"ENSG00000198034",2.16181331658039e-54,0.351782226366407,0.999,0.995,4.4209082324069e-50,"0","ENSG00000198034"
"ENSG00000165066",1.16600849842094e-53,0.280019813618193,0.366,0.145,2.38448737927082e-49,"0","ENSG00000165066"
"ENSG00000116251",2.64122187643402e-53,0.327438183114154,0.997,0.988,5.40129873730758e-49,"0","ENSG00000116251"
"ENSG00000083845",7.74117279995214e-52,0.311804327546831,0.999,0.994,1.58306983759021e-47,"0","ENSG00000083845"
"ENSG00000149428",1.39148644427686e-51,0.462926399554576,0.677,0.51,2.84558977854617e-47,"0","ENSG00000149428"
"ENSG00000272398",1.78759760608535e-51,0.415348433202207,0.93,0.776,3.65563710444453e-47,"0","ENSG00000272398"
"ENSG00000198856",2.15913810375837e-50,0.420505621652986,0.977,0.949,4.41543742218586e-46,"0","ENSG00000198856"
"ENSG00000126457",2.75931456587454e-50,0.371524332103122,0.948,0.876,5.64279828721344e-46,"0","ENSG00000126457"
"ENSG00000245532",1.1620272670784e-49,0.535336173890361,0.973,0.924,2.37634576117533e-45,"0","ENSG00000245532"
"ENSG00000164587",2.95455551361109e-49,0.306194550243727,0.999,0.993,6.04206602533468e-45,"0","ENSG00000164587"
"ENSG00000147677",5.59289098148542e-48,0.398041821674343,0.924,0.855,1.14374620571377e-43,"0","ENSG00000147677"
"ENSG00000161970",1.15934326582706e-47,0.394016343735968,0.99,0.961,2.37085697861634e-43,"0","ENSG00000161970"
"ENSG00000205213",3.54126415121888e-47,0.451329539234621,0.725,0.596,7.24188518924261e-43,"0","ENSG00000205213"
"ENSG00000114023",1.19202444950886e-46,0.384745511430848,0.832,0.734,2.43768999924561e-42,"0","ENSG00000114023"
"ENSG00000152661",2.90878913854186e-46,0.28480182303065,0.367,0.162,5.9484737883181e-42,"0","ENSG00000152661"
"ENSG00000149273",6.2237518348761e-46,0.312046968896674,0.999,0.993,1.27275725023216e-41,"0","ENSG00000149273"
"ENSG00000169100",2.51098756939646e-45,0.329627384094721,0.993,0.975,5.13496957941575e-41,"0","ENSG00000169100"
"ENSG00000138413",2.52012269696818e-45,0.370706103763959,0.981,0.944,5.15365091529992e-41,"0","ENSG00000138413"
"ENSG00000188846",2.97261169321243e-45,0.33874510190497,0.995,0.974,6.07899091261943e-41,"0","ENSG00000188846"
"ENSG00000198189",3.99809601212984e-44,0.394027790337313,0.952,0.907,8.17610634480552e-40,"0","ENSG00000198189"
"ENSG00000128228",5.74137751370165e-44,0.491161971022704,0.92,0.884,1.17411170155199e-39,"0","ENSG00000128228"
"ENSG00000112667",1.52536489136128e-43,0.360489052092868,0.897,0.824,3.11937120283381e-39,"0","ENSG00000112667"
"ENSG00000166794",2.0783478266038e-43,0.337778789504507,0.997,0.982,4.25022130540478e-39,"0","ENSG00000166794"
"ENSG00000142937",6.39262837040284e-43,0.309382372494408,0.999,0.993,1.30729250174738e-38,"0","ENSG00000142937"
"ENSG00000142541",7.06236808166021e-43,0.500903469975104,0.994,0.961,1.44425427269951e-38,"0","ENSG00000142541"
"ENSG00000135390",2.01510112191929e-42,0.313524757389718,0.996,0.975,4.12088179432494e-38,"0","ENSG00000135390"
"ENSG00000173511",3.99052329416003e-42,0.355372440077203,0.807,0.669,8.16062013655726e-38,"0","ENSG00000173511"
"ENSG00000148303",6.63578575354892e-42,0.288494385114344,0.999,0.994,1.35701818660076e-37,"0","ENSG00000148303"
"ENSG00000198242",1.25797856997758e-41,0.334366943968519,0.997,0.973,2.57256617560415e-37,"0","ENSG00000198242"
"ENSG00000115414",2.04559968467757e-41,0.264090698715763,0.992,0.947,4.18325135516564e-37,"0","ENSG00000115414"
"ENSG00000198755",3.18508135817378e-41,0.36663840755958,0.989,0.957,6.51349137746538e-37,"0","ENSG00000198755"
"ENSG00000099194",4.59743119365172e-41,0.323762441926436,0.44,0.248,9.40174679101777e-37,"0","ENSG00000099194"
"ENSG00000102048",4.77133951702832e-41,0.341168162411417,0.451,0.257,9.75738931232292e-37,"0","ENSG00000102048"
"ENSG00000165092",7.84355454968253e-41,0.337890778098549,0.989,0.948,1.60400690541008e-36,"0","ENSG00000165092"
"ENSG00000156508",1.28078427036567e-40,0.283007180168985,1,0.995,2.61920383289779e-36,"0","ENSG00000156508"
