"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"ENSG00000251562",1.19589185208604e-112,0.917883367162744,1,0.971,2.24600448740279e-108,"0","ENSG00000251562"
"ENSG00000235770",1.1690609670572e-93,0.781945988690473,0.968,0.837,2.19561340223012e-89,"0","ENSG00000235770"
"ENSG00000245532",5.69514033442274e-79,0.808617381567668,0.997,0.951,1.06960430620793e-74,"0","ENSG00000245532"
"ENSG00000198804",1.50747762991182e-76,0.677936273260503,1,0.97,2.83119373673739e-72,"0","ENSG00000198804"
"ENSG00000198712",4.64139789326411e-76,0.629252193274365,1,0.985,8.71700938333933e-72,"0","ENSG00000198712"
"ENSG00000198886",3.3217915996924e-72,0.667713938126128,1,0.965,6.2386568033823e-68,"0","ENSG00000198886"
"ENSG00000109475",8.62410062019869e-67,0.332387145021118,1,0.995,1.61969233747952e-62,"0","ENSG00000109475"
"ENSG00000198938",2.91111175897647e-59,0.54776149877621,1,0.948,5.46735899453371e-55,"0","ENSG00000198938"
"ENSG00000198888",4.26082169854728e-59,0.596289297807514,0.995,0.902,8.00224923204164e-55,"0","ENSG00000198888"
"ENSG00000229807",1.89842401238892e-58,0.525066128566255,0.935,0.773,3.56543013766763e-54,"0","ENSG00000229807"
"ENSG00000198899",4.78933256070333e-57,0.592162377542468,0.998,0.95,8.99484548225692e-53,"0","ENSG00000198899"
"ENSG00000142534",3.69945275734035e-56,0.365115977438791,0.998,0.993,6.94794222356092e-52,"0","ENSG00000142534"
"ENSG00000198727",1.73523153007368e-54,0.580083977231139,1,0.967,3.25893833663137e-50,"0","ENSG00000198727"
"ENSG00000198763",8.88173762563186e-50,0.489353049514749,0.994,0.896,1.66807914346992e-45,"0","ENSG00000198763"
"ENSG00000142541",2.22921448910376e-49,0.451675441824877,1,0.995,4.18668773198576e-45,"0","ENSG00000142541"
"ENSG00000198786",1.12071306145858e-46,0.467664837028896,0.937,0.789,2.10481120072536e-42,"0","ENSG00000198786"
"ENSG00000198840",5.81925513022526e-45,0.417209594657927,0.989,0.893,1.09291430600761e-40,"0","ENSG00000198840"
